NAME,Rarity Sum
Pet Bricks #1788,19.6
Pet Bricks #2979,19.619999999999997
Pet Bricks #2280,19.62
Pet Bricks #4380,19.62
Pet Bricks #1287,19.620000000000005
Pet Bricks #1760,19.640000000000004
Pet Bricks #845,19.66
Pet Bricks #4511,19.68
Pet Bricks #755,19.700000000000003
Pet Bricks #4341,19.700000000000003
Pet Bricks #1154,19.72
Pet Bricks #2477,19.72
Pet Bricks #2832,19.72
Pet Bricks #636,19.740000000000002
Pet Bricks #3636,19.740000000000002
Pet Bricks #4493,19.76
Pet Bricks #623,19.78
Pet Bricks #2104,19.78
Pet Bricks #4208,19.78
Pet Bricks #4863,19.78
Pet Bricks #1405,19.8
Pet Bricks #3456,19.8
Pet Bricks #725,19.82
Pet Bricks #4670,19.82
Pet Bricks #3947,19.840000000000003
Pet Bricks #1255,19.86
Pet Bricks #1402,19.86
Pet Bricks #2345,19.86
Pet Bricks #4647,19.86
Pet Bricks #4801,19.86
Pet Bricks #1307,19.9
Pet Bricks #2281,19.9
Pet Bricks #2947,19.9
Pet Bricks #1540,19.900000000000002
Pet Bricks #602,19.919999999999998
Pet Bricks #1182,19.919999999999998
Pet Bricks #2577,19.92
Pet Bricks #4196,19.92
Pet Bricks #1055,19.94
Pet Bricks #239,19.96
Pet Bricks #2598,19.96
Pet Bricks #3451,19.979999999999997
Pet Bricks #786,19.98
Pet Bricks #812,19.98
Pet Bricks #944,19.98
Pet Bricks #1996,20.02
Pet Bricks #1080,20.04
Pet Bricks #2215,20.04
Pet Bricks #564,20.060000000000002
Pet Bricks #765,20.08
Pet Bricks #748,20.080000000000002
Pet Bricks #960,20.080000000000002
Pet Bricks #3739,20.080000000000002
Pet Bricks #918,20.099999999999998
Pet Bricks #4481,20.099999999999998
Pet Bricks #261,20.1
Pet Bricks #1551,20.1
Pet Bricks #3849,20.1
Pet Bricks #2668,20.119999999999997
Pet Bricks #708,20.14
Pet Bricks #429,20.159999999999997
Pet Bricks #2344,20.16
Pet Bricks #3694,20.16
Pet Bricks #585,20.18
Pet Bricks #1654,20.18
Pet Bricks #2574,20.18
Pet Bricks #4706,20.18
Pet Bricks #4973,20.18
Pet Bricks #2694,20.200000000000003
Pet Bricks #2208,20.22
Pet Bricks #2457,20.22
Pet Bricks #2803,20.22
Pet Bricks #3986,20.22
Pet Bricks #3631,20.220000000000002
Pet Bricks #3535,20.240000000000002
Pet Bricks #3469,20.26
Pet Bricks #1497,20.279999999999998
Pet Bricks #4001,20.28
Pet Bricks #567,20.3
Pet Bricks #979,20.3
Pet Bricks #4739,20.3
Pet Bricks #273,20.32
Pet Bricks #676,20.32
Pet Bricks #558,20.339999999999996
Pet Bricks #2786,20.339999999999996
Pet Bricks #996,20.36
Pet Bricks #1132,20.36
Pet Bricks #1802,20.380000000000003
Pet Bricks #1813,20.380000000000003
Pet Bricks #1335,20.400000000000002
Pet Bricks #3241,20.400000000000002
Pet Bricks #2322,20.42
Pet Bricks #1989,20.439999999999998
Pet Bricks #3974,20.48
Pet Bricks #4443,20.48
Pet Bricks #2582,20.480000000000004
Pet Bricks #2648,20.499999999999996
Pet Bricks #3011,20.519999999999996
Pet Bricks #127,20.540000000000003
Pet Bricks #1779,20.56
Pet Bricks #3344,20.56
Pet Bricks #4358,20.560000000000002
Pet Bricks #4958,20.580000000000002
Pet Bricks #3042,20.599999999999998
Pet Bricks #4633,20.599999999999998
Pet Bricks #506,20.6
Pet Bricks #916,20.6
Pet Bricks #2616,20.6
Pet Bricks #2941,20.6
Pet Bricks #4327,20.619999999999997
Pet Bricks #969,20.64
Pet Bricks #3038,20.64
Pet Bricks #2279,20.640000000000004
Pet Bricks #2748,20.68
Pet Bricks #1391,20.7
Pet Bricks #4683,20.7
Pet Bricks #139,20.72
Pet Bricks #2025,20.759999999999998
Pet Bricks #3672,20.759999999999998
Pet Bricks #3680,20.76
Pet Bricks #2417,20.8
Pet Bricks #1261,20.82
Pet Bricks #4970,20.82
Pet Bricks #1120,20.84
Pet Bricks #858,20.86
Pet Bricks #3216,20.86
Pet Bricks #3017,20.880000000000003
Pet Bricks #4056,20.900000000000002
Pet Bricks #1087,20.939999999999998
Pet Bricks #4312,20.939999999999998
Pet Bricks #4852,20.939999999999998
Pet Bricks #3522,20.94
Pet Bricks #3559,20.96
Pet Bricks #3298,20.979999999999997
Pet Bricks #3453,20.979999999999997
Pet Bricks #2139,21
Pet Bricks #2326,21
Pet Bricks #3502,21
Pet Bricks #4659,21
Pet Bricks #1109,21.02
Pet Bricks #219,21.06
Pet Bricks #1979,21.06
Pet Bricks #3248,21.06
Pet Bricks #4370,21.06
Pet Bricks #3275,21.060000000000002
Pet Bricks #4956,21.08
Pet Bricks #2995,21.080000000000002
Pet Bricks #2018,21.099999999999998
Pet Bricks #4412,21.099999999999998
Pet Bricks #104,21.1
Pet Bricks #1927,21.1
Pet Bricks #3778,21.1
Pet Bricks #4504,21.1
Pet Bricks #309,21.119999999999997
Pet Bricks #2776,21.119999999999997
Pet Bricks #3665,21.119999999999997
Pet Bricks #4542,21.12
Pet Bricks #2624,21.120000000000005
Pet Bricks #1763,21.14
Pet Bricks #4165,21.14
Pet Bricks #1355,21.16
Pet Bricks #4994,21.16
Pet Bricks #2539,21.18
Pet Bricks #2972,21.18
Pet Bricks #2044,21.199999999999996
Pet Bricks #3723,21.199999999999996
Pet Bricks #3308,21.2
Pet Bricks #4885,21.2
Pet Bricks #3145,21.219999999999995
Pet Bricks #2980,21.220000000000002
Pet Bricks #3979,21.220000000000002
Pet Bricks #4845,21.220000000000002
Pet Bricks #408,21.24
Pet Bricks #2022,21.24
Pet Bricks #4261,21.24
Pet Bricks #150,21.240000000000002
Pet Bricks #2921,21.240000000000002
Pet Bricks #2073,21.259999999999998
Pet Bricks #2740,21.259999999999998
Pet Bricks #3486,21.259999999999998
Pet Bricks #371,21.26
Pet Bricks #1995,21.28
Pet Bricks #2072,21.28
Pet Bricks #4545,21.28
Pet Bricks #4201,21.299999999999997
Pet Bricks #933,21.3
Pet Bricks #3584,21.3
Pet Bricks #32,21.32
Pet Bricks #6,21.34
Pet Bricks #1594,21.340000000000003
Pet Bricks #1248,21.36
Pet Bricks #1272,21.36
Pet Bricks #4615,21.38
Pet Bricks #3472,21.380000000000003
Pet Bricks #1477,21.4
Pet Bricks #3137,21.4
Pet Bricks #2968,21.419999999999998
Pet Bricks #243,21.42
Pet Bricks #1379,21.42
Pet Bricks #1947,21.439999999999998
